route_short_name,route_long_name,route_type,route_id,agency_id
,199DOWN_DTC,3,1528,DTC
,205DOWN_DTC,3,1529,DTC
,211ADOWN_DTC,3,1530,DTC
,213ADOWN_DTC,3,1531,DTC
,214DOWN_DTC,3,1532,DTC
,216DOWN_DTC,3,1533,DTC
,218DOWN_DTC,3,1534,DTC
,219DOWN_DTC,3,1535,DTC
,219STLDOWN_DTC,3,1536,DTC
,221DOWN_DTC,3,1537,DTC
,227ADOWN_DTC,3,1538,DTC
,231DOWN_DTC,3,1539,DTC
,234DOWN_DTC,3,1540,DTC
,234ADOWN_DTC,3,1541,DTC
,236DOWN_DTC,3,1542,DTC
,247DOWN_DTC,3,1543,DTC
,253DOWN_DTC,3,1544,DTC
,255DOWN_DTC,3,1545,DTC
,259DOWN_DTC,3,1546,DTC
,281DOWN_DTC,3,1547,DTC
,307DOWN_DTC,3,1548,DTC
,317DOWN_DTC,3,1549,DTC
,323DOWN_DTC,3,1550,DTC
,333DOWN_DTC,3,1551,DTC
,335DOWN_DTC,3,1552,DTC
,336DOWN_DTC,3,1553,DTC
,340DOWN_DTC,3,1554,DTC
,341DOWN_DTC,3,1555,DTC
,344DOWN_DTC,3,1556,DTC
,347ADOWN_DTC,3,1557,DTC
,349ADOWN_DTC,3,1558,DTC
,357ADOWN_DTC,3,1559,DTC
,392DOWN_DTC,3,1560,DTC
,392BDOWN_DTC,3,1561,DTC
,410DOWN_DTC,3,1562,DTC
,427DOWN_DTC,3,1563,DTC
,427ADOWN_DTC,3,1564,DTC
,440DOWN_DTC,3,1565,DTC
,442DOWN_DTC,3,1566,DTC
,443ADOWN_DTC,3,1567,DTC
,448DOWN_DTC,3,1568,DTC
,448BDOWN_DTC,3,1569,DTC
,460DOWN_DTC,3,1570,DTC
,465DOWN_DTC,3,1571,DTC
,473DOWN_DTC,3,1572,DTC
,479DOWN_DTC,3,1573,DTC
,492DOWN_DTC,3,1574,DTC
,493DOWN_DTC,3,1575,DTC
,501DOWN_DTC,3,1576,DTC
,505DOWN_DTC,3,1577,DTC
,506STLDOWN_DTC,3,1578,DTC
,517DOWN_DTC,3,1579,DTC
,519DOWN_DTC,3,1580,DTC
,522SPLDOWN_DTC,3,1581,DTC
,522ASPL.DOWN_DTC,3,1582,DTC
,525DOWN_DTC,3,1583,DTC
,525STLDOWN_DTC,3,1584,DTC
,529SPLDOWN_DTC,3,1585,DTC
,536DOWN_DTC,3,1586,DTC
,540DOWN_DTC,3,1587,DTC
,544DOWN_DTC,3,1588,DTC
,568DOWN_DTC,3,1589,DTC
,568ADOWN_DTC,3,1590,DTC
,569DOWN_DTC,3,1591,DTC
,569EXTDOWN_DTC,3,1592,DTC
,578DOWN_DTC,3,1593,DTC
,588DOWN_DTC,3,1594,DTC
,588ADOWN_DTC,3,1595,DTC
,604DOWN_DTC,3,1596,DTC
,610BDOWN_DTC,3,1597,DTC
,611ADOWN_DTC,3,1598,DTC
,611CDOWN_DTC,3,1599,DTC
,615DOWN_DTC,3,1600,DTC
,620DOWN_DTC,3,1601,DTC
,621DOWN_DTC,3,1602,DTC
,623ADOWN_DTC,3,1603,DTC
,624ADOWN_DTC,3,1604,DTC
,630DOWN_DTC,3,1605,DTC
,632DOWN_DTC,3,1606,DTC
,701DOWN_DTC,3,1607,DTC
,708DOWN_DTC,3,1608,DTC
,708ADOWN_DTC,3,1609,DTC
,717DOWN_DTC,3,1610,DTC
,718DOWN_DTC,3,1611,DTC
,727DOWN_DTC,3,1612,DTC
,728DOWN_DTC,3,1613,DTC
,729DOWN_DTC,3,1614,DTC
,740DOWN_DTC,3,1615,DTC
,740EXTDOWN_DTC,3,1616,DTC
,741DOWN_DTC,3,1617,DTC
,745DOWN_DTC,3,1618,DTC
,764DOWN_DTC,3,1619,DTC
,764EXTDOWN_DTC,3,1620,DTC
,765DOWN_DTC,3,1621,DTC
,778ADOWN_DTC,3,1622,DTC
,781DOWN_DTC,3,1623,DTC
,804ADOWN_DTC,3,1624,DTC
,810DOWN_DTC,3,1625,DTC
,817DOWN_DTC,3,1626,DTC
,817NDOWN_DTC,3,1627,DTC
,818DOWN_DTC,3,1628,DTC
,819DOWN_DTC,3,1629,DTC
,820DOWN_DTC,3,1630,DTC
,821DOWN_DTC,3,1631,DTC
,825DOWN_DTC,3,1632,DTC
,825ADOWN_DTC,3,1633,DTC
,826DOWN_DTC,3,1634,DTC
,827DOWN_DTC,3,1635,DTC
,828DOWN_DTC,3,1636,DTC
,828ADOWN_DTC,3,1637,DTC
,829DOWN_DTC,3,1638,DTC
,835DOWN_DTC,3,1639,DTC
,844DOWN_DTC,3,1640,DTC
,845DOWN_DTC,3,1641,DTC
,848DOWN_DTC,3,1642,DTC
,861ADOWN_DTC,3,1643,DTC
,871DOWN_DTC,3,1644,DTC
,872DOWN_DTC,3,1645,DTC
,876DOWN_DTC,3,1646,DTC
,879DOWN_DTC,3,1647,DTC
,879ADOWN_DTC,3,1648,DTC
,879BDOWN_DTC,3,1649,DTC
,887DOWN_DTC,3,1650,DTC
,889DOWN_DTC,3,1651,DTC
,891DOWN_DTC,3,1652,DTC
,901DOWN_DTC,3,1653,DTC
,908DOWN_DTC,3,1654,DTC
,910DOWN_DTC,3,1655,DTC
,923DOWN_DTC,3,1656,DTC
,926DOWN_DTC,3,1657,DTC
,928DOWN_DTC,3,1658,DTC
,939DOWN_DTC,3,1659,DTC
,940DOWN_DTC,3,1660,DTC
,940ADOWN_DTC,3,1661,DTC
,941DOWN_DTC,3,1662,DTC
,944DOWN_DTC,3,1663,DTC
,947DOWN_DTC,3,1664,DTC
,953DOWN_DTC,3,1665,DTC
,954DOWN_DTC,3,1666,DTC
,962ADOWN_DTC,3,1667,DTC
,962BDOWN_DTC,3,1668,DTC
,966DOWN_DTC,3,1669,DTC
,966EXTDOWN_DTC,3,1670,DTC
,970ADOWN_DTC,3,1671,DTC
,970CDOWN_DTC,3,1672,DTC
,971ADOWN_DTC,3,1673,DTC
,982DOWN_DTC,3,1674,DTC
,984ADOWN_DTC,3,1675,DTC
,985DOWN_DTC,3,1676,DTC
,GL-22DOWN_DTC,3,1677,DTC
,GL-23DOWN_DTC,3,1678,DTC
,RL-77DOWN_DTC,3,1679,DTC
,RL-77BDOWN_DTC,3,1680,DTC
,RL-77EXTDOWN_DTC,3,1681,DTC
,RL-79DOWN_DTC,3,1682,DTC
,YMS(-)DOWN_DTC,3,1683,DTC
,OMS(-)DOWN_DTC,3,1684,DTC
,TMS(-)DOWN_DTC,3,1685,DTC
,WESTDELHIMUDRIKA(-)DOWN_DTC,3,1686,DTC
,GRAMINMUDRIKA(-)DOWN_DTC,3,1687,DTC
,BAWANACIRCULARSEWA(-)DOWN_DTC,3,1688,DTC
,BYPASSEXPRESSDOWN_DTC,3,1689,DTC
,AIRPORTEXP.-4DOWN_DTC,3,1690,DTC
