route_id,service_id,trip_id,shape_id
1248,1,1248_10_20,
1248,1,1248_10_30,
1248,1,1248_10_40,
1248,1,1248_10_50,
1248,1,1248_11_00,
1248,1,1248_11_10,
1248,1,1248_11_20,
1248,1,1248_11_30,
1248,1,1248_11_40,
1248,1,1248_11_50,
1248,1,1248_12_00,
1248,1,1248_12_10,
1248,1,1248_12_20,
1248,1,1248_12_30,
1248,1,1248_12_40,
1248,1,1248_12_50,
1248,1,1248_13_00,
1248,1,1248_13_10,
1248,1,1248_13_20,
1248,1,1248_13_30,
1248,1,1248_13_40,
1248,1,1248_13_50,
1248,1,1248_14_00,
1248,1,1248_14_10,
1248,1,1248_14_20,
1248,1,1248_14_30,
1248,1,1248_14_40,
1248,1,1248_14_50,
1248,1,1248_15_00,
1248,1,1248_15_10,
1248,1,1248_15_20,
1248,1,1248_15_30,
1248,1,1248_15_40,
1248,1,1248_15_50,
1248,1,1248_16_00,
1248,1,1248_16_10,
1248,1,1248_16_20,
1248,1,1248_16_30,
1248,1,1248_16_40,
1248,1,1248_16_50,
1248,1,1248_17_00,
1248,1,1248_17_10,
1248,1,1248_17_20,
1248,1,1248_17_30,
1248,1,1248_17_40,
1248,1,1248_17_50,
1248,1,1248_18_00,
1248,1,1248_18_10,
1248,1,1248_18_20,
1248,1,1248_18_30,
1248,1,1248_18_40,
1248,1,1248_18_50,
1248,1,1248_19_00,
1248,1,1248_19_10,
1248,1,1248_19_20,
1248,1,1248_19_30,
1248,1,1248_19_40,
1248,1,1248_19_50,
1248,1,1248_20_00,
1248,1,1248_20_10,
1248,1,1248_20_20,
1248,1,1248_20_30,
1248,1,1248_20_40,
1248,1,1248_20_50,
1248,1,1248_21_00,
1248,1,1248_21_10,
1248,1,1248_21_20,
1248,1,1248_21_30,
1248,1,1248_21_40,
1248,1,1248_21_50,
1248,1,1248_22_00,
1248,1,1248_22_10,
1248,1,1248_22_20,
1248,1,1248_22_30,
1248,1,1248_22_40,
1248,1,1248_22_50,
1248,1,1248_23_00,
1249,1,1249_06_00,
1249,1,1249_06_10,
1249,1,1249_06_20,
1249,1,1249_06_30,
1249,1,1249_06_40,
1249,1,1249_06_50,
1249,1,1249_07_00,
1249,1,1249_07_10,
1249,1,1249_07_20,
1249,1,1249_07_30,
1249,1,1249_07_40,
1249,1,1249_07_50,
1249,1,1249_08_00,
1249,1,1249_08_10,
1249,1,1249_08_20,
1249,1,1249_08_30,
1249,1,1249_08_40,
1249,1,1249_08_50,
1249,1,1249_09_00,
1249,1,1249_09_10,
1249,1,1249_09_20,
1249,1,1249_09_30,
1249,1,1249_09_40,
1249,1,1249_09_50,
1249,1,1249_10_00,
1249,1,1249_10_10,
1249,1,1249_10_20,
1249,1,1249_10_30,
1249,1,1249_10_40,
1249,1,1249_10_50,
1249,1,1249_11_00,
1249,1,1249_11_10,
1249,1,1249_11_20,
1249,1,1249_11_30,
1249,1,1249_11_40,
1249,1,1249_11_50,
1249,1,1249_12_00,
1249,1,1249_12_10,
1249,1,1249_12_20,
1249,1,1249_12_30,
1249,1,1249_12_40,
1249,1,1249_12_50,
1249,1,1249_13_00,
1249,1,1249_13_10,
1249,1,1249_13_20,
1249,1,1249_13_30,
1249,1,1249_13_40,
1249,1,1249_13_50,
1249,1,1249_14_00,
1249,1,1249_14_10,
1249,1,1249_14_20,
1249,1,1249_14_30,
1249,1,1249_14_40,
1249,1,1249_14_50,
1249,1,1249_15_00,
1249,1,1249_15_10,
1249,1,1249_15_20,
1249,1,1249_15_30,
1249,1,1249_15_40,
1249,1,1249_15_50,
1249,1,1249_16_00,
1249,1,1249_16_10,
1249,1,1249_16_20,
1249,1,1249_16_30,
1249,1,1249_16_40,
1249,1,1249_16_50,
1249,1,1249_17_00,
1249,1,1249_17_10,
1249,1,1249_17_20,
1249,1,1249_17_30,
1249,1,1249_17_40,
1249,1,1249_17_50,
1249,1,1249_18_00,
1249,1,1249_18_10,
1249,1,1249_18_20,
1249,1,1249_18_30,
1249,1,1249_18_40,
1249,1,1249_18_50,
1249,1,1249_19_00,
1249,1,1249_19_10,
1249,1,1249_19_20,
1249,1,1249_19_30,
1249,1,1249_19_40,
1249,1,1249_19_50,
1249,1,1249_20_00,
1249,1,1249_20_10,
1249,1,1249_20_20,
1249,1,1249_20_30,
1249,1,1249_20_40,
1249,1,1249_20_50,
1249,1,1249_21_00,
1249,1,1249_21_10,
1249,1,1249_21_20,
1249,1,1249_21_30,
1249,1,1249_21_40,
1249,1,1249_21_50,
1249,1,1249_22_00,
1249,1,1249_22_10,
1249,1,1249_22_20,
1249,1,1249_22_30,
1249,1,1249_22_40,
1249,1,1249_22_50,
1249,1,1249_23_00,
1250,1,1250_06_00,
1250,1,1250_06_10,
1250,1,1250_06_20,
1250,1,1250_06_30,
1250,1,1250_06_40,
1250,1,1250_06_50,
1250,1,1250_07_00,
1250,1,1250_07_10,
1250,1,1250_07_20,
1250,1,1250_07_30,
1250,1,1250_07_40,
1250,1,1250_07_50,
1250,1,1250_08_00,
1250,1,1250_08_10,
1250,1,1250_08_20,
1250,1,1250_08_30,
1250,1,1250_08_40,
1250,1,1250_08_50,
1250,1,1250_09_00,
1250,1,1250_09_10,
1250,1,1250_09_20,
1250,1,1250_09_30,
1250,1,1250_09_40,
1250,1,1250_09_50,
1250,1,1250_10_00,
1250,1,1250_10_10,
1250,1,1250_10_20,
1250,1,1250_10_30,
1250,1,1250_10_40,
1250,1,1250_10_50,
1250,1,1250_11_00,
1250,1,1250_11_10,
1250,1,1250_11_20,
1250,1,1250_11_30,
1250,1,1250_11_40,
1250,1,1250_11_50,
1250,1,1250_12_00,
1250,1,1250_12_10,
1250,1,1250_12_20,
1250,1,1250_12_30,
1250,1,1250_12_40,
1250,1,1250_12_50,
1250,1,1250_13_00,
1250,1,1250_13_10,
1250,1,1250_13_20,
1250,1,1250_13_30,
1250,1,1250_13_40,
1250,1,1250_13_50,
1250,1,1250_14_00,
1250,1,1250_14_10,
1250,1,1250_14_20,
1250,1,1250_14_30,
1250,1,1250_14_40,
1250,1,1250_14_50,
1250,1,1250_15_00,
1250,1,1250_15_10,
1250,1,1250_15_20,
1250,1,1250_15_30,
1250,1,1250_15_40,
1250,1,1250_15_50,
1250,1,1250_16_00,
1250,1,1250_16_10,
1250,1,1250_16_20,
1250,1,1250_16_30,
1250,1,1250_16_40,
1250,1,1250_16_50,
1250,1,1250_17_00,
1250,1,1250_17_10,
1250,1,1250_17_20,
1250,1,1250_17_30,
1250,1,1250_17_40,
1250,1,1250_17_50,
1250,1,1250_18_00,
1250,1,1250_18_10,
1250,1,1250_18_20,
1250,1,1250_18_30,
1250,1,1250_18_40,
1250,1,1250_18_50,
1250,1,1250_19_00,
1250,1,1250_19_10,
1250,1,1250_19_20,
1250,1,1250_19_30,
1250,1,1250_19_40,
1250,1,1250_19_50,
1250,1,1250_20_00,
1250,1,1250_20_10,
1250,1,1250_20_20,
1250,1,1250_20_30,
1250,1,1250_20_40,
1250,1,1250_20_50,
1250,1,1250_21_00,
1250,1,1250_21_10,
1250,1,1250_21_20,
1250,1,1250_21_30,
1250,1,1250_21_40,
1250,1,1250_21_50,
1250,1,1250_22_00,
1250,1,1250_22_10,
1250,1,1250_22_20,
1250,1,1250_22_30,
1250,1,1250_22_40,
1250,1,1250_22_50,
1250,1,1250_23_00,
1251,1,1251_06_00,
1251,1,1251_06_10,
1251,1,1251_06_20,
1251,1,1251_06_30,
1251,1,1251_06_40,
1251,1,1251_06_50,
1251,1,1251_07_00,
1251,1,1251_07_10,
1251,1,1251_07_20,
1251,1,1251_07_30,
1251,1,1251_07_40,
1251,1,1251_07_50,
1251,1,1251_08_00,
1251,1,1251_08_10,
1251,1,1251_08_20,
1251,1,1251_08_30,
1251,1,1251_08_40,
1251,1,1251_08_50,
1251,1,1251_09_00,
1251,1,1251_09_10,
1251,1,1251_09_20,
1251,1,1251_09_30,
1251,1,1251_09_40,
1251,1,1251_09_50,
1251,1,1251_10_00,
1251,1,1251_10_10,
1251,1,1251_10_20,
1251,1,1251_10_30,
1251,1,1251_10_40,
1251,1,1251_10_50,
1251,1,1251_11_00,
1251,1,1251_11_10,
1251,1,1251_11_20,
1251,1,1251_11_30,
1251,1,1251_11_40,
1251,1,1251_11_50,
1251,1,1251_12_00,
1251,1,1251_12_10,
1251,1,1251_12_20,
1251,1,1251_12_30,
1251,1,1251_12_40,
1251,1,1251_12_50,
1251,1,1251_13_00,
1251,1,1251_13_10,
1251,1,1251_13_20,
1251,1,1251_13_30,
1251,1,1251_13_40,
1251,1,1251_13_50,
1251,1,1251_14_00,
1251,1,1251_14_10,
1251,1,1251_14_20,
1251,1,1251_14_30,
1251,1,1251_14_40,
1251,1,1251_14_50,
1251,1,1251_15_00,
1251,1,1251_15_10,
1251,1,1251_15_20,
1251,1,1251_15_30,
1251,1,1251_15_40,
1251,1,1251_15_50,
1251,1,1251_16_00,
1251,1,1251_16_10,
1251,1,1251_16_20,
1251,1,1251_16_30,
1251,1,1251_16_40,
1251,1,1251_16_50,
1251,1,1251_17_00,
1251,1,1251_17_10,
1251,1,1251_17_20,
1251,1,1251_17_30,
1251,1,1251_17_40,
1251,1,1251_17_50,
1251,1,1251_18_00,
1251,1,1251_18_10,
1251,1,1251_18_20,
1251,1,1251_18_30,
1251,1,1251_18_40,
1251,1,1251_18_50,
1251,1,1251_19_00,
1251,1,1251_19_10,
1251,1,1251_19_20,
1251,1,1251_19_30,
1251,1,1251_19_40,
1251,1,1251_19_50,
1251,1,1251_20_00,
1251,1,1251_20_10,
1251,1,1251_20_20,
1251,1,1251_20_30,
1251,1,1251_20_40,
1251,1,1251_20_50,
1251,1,1251_21_00,
1251,1,1251_21_10,
1251,1,1251_21_20,
1251,1,1251_21_30,
1251,1,1251_21_40,
1251,1,1251_21_50,
1251,1,1251_22_00,
1251,1,1251_22_10,
1251,1,1251_22_20,
1251,1,1251_22_30,
1251,1,1251_22_40,
1251,1,1251_22_50,
1251,1,1251_23_00,
1252,1,1252_06_00,
1252,1,1252_06_10,
1252,1,1252_06_20,
1252,1,1252_06_30,
1252,1,1252_06_40,
1252,1,1252_06_50,
1252,1,1252_07_00,
