bus_number,duty,ot,it,shift
DL1PB9913,878,"12/9/2020, 6:20:28 AM","12/9/2020, 1:11:30 PM",morning
DL1PC0508,817,"09/12/2020, 05:00:14","12/9/2020, 1:11:20 PM",morning
DL1PC1438,539,"09/12/2020, 04:48:14","12/9/2020, 1:10:50 PM",morning
DL1PC0530,828,"12/9/2020, 9:24:33 AM","9/12/2020, 3:17:09 PM",morning
DL1PC0531,SPECIAL-HIRE,"12/9/2020, 8:46:41 AM","9/12/2020, 7:18:46 PM",morning
DL1PC0667,764,"09/12/2020, 04:44:50","9/12/2020, 7:16:25 PM",morning
DL1PC1498,539K,"12/9/2020, 9:11:10 AM","9/12/2020, 1:21:58 PM",morning
DL1PC0518,764,"12/9/2020, 8:06:06 AM","9/12/2020, 7:18:53 PM",morning
DL1PC0773,835,"09/12/2020, 03:41:35","12/9/2020, 10:37:27 AM",morning
DL1PC0740,821,"12/9/2020, 7:08:47 AM","9/12/2020, 2:41:15 PM",morning
DL1PC0184,817,"9/12/2020, 7:15:19 PM","9/12/2020, 7:19:04 PM",morning
DL1PC0948,SPECIAL-HIRE,"12/9/2020, 8:42:02 AM","9/12/2020, 7:18:17 PM",morning
DL1PC0984,764,"12/9/2020, 6:21:29 AM","9/12/2020, 1:21:07 PM",morning
DL1PC0346,539,"12/9/2020, 9:06:44 AM","9/12/2020, 2:40:47 PM",morning
DL1PB9879,817,"12/9/2020, 8:04:41 AM","9/12/2020, 3:17:17 PM",morning
DL1PC0041,539,"12/9/2020, 7:09:59 AM","9/12/2020, 2:01:35 PM",morning
DL1PC0559,817,"12/9/2020, 7:08:01 AM","9/12/2020, 1:59:34 PM",morning
DL1PC0544,234,"12/9/2020, 9:10:55 AM","9/12/2020, 1:21:34 PM",morning
DL1PC0116,848,"12/9/2020, 9:11:45 AM","9/12/2020, 2:00:32 PM",morning
DL1PC0551,539,"12/9/2020, 9:24:50 AM","12/9/2020, 1:06:21 PM",morning
DL1PC0108,817,"12/9/2020, 8:05:41 AM","9/12/2020, 1:24:07 PM",morning
DL1PC1324,SPECIAL-HIRE,"12/9/2020, 8:45:08 AM","9/12/2020, 7:18:14 PM",morning
DL1PC0509,539,"12/9/2020, 7:23:08 AM","9/12/2020, 2:41:00 PM",morning
DL1PC0779,817,"12/9/2020, 6:36:28 AM","9/12/2020, 1:23:54 PM",morning
DL1PB9841,SPECIAL-HIRE,"12/9/2020, 8:42:30 AM","9/12/2020, 7:19:17 PM",morning
DL1PC0513,817,"12/9/2020, 9:09:06 AM","9/12/2020, 2:12:06 PM",morning
DL1PC0549,SPECIAL-HIRE,"12/9/2020, 8:43:35 AM","9/12/2020, 7:18:41 PM",morning
DL1PC1649,SPECIAL-HIRE,"12/9/2020, 8:46:17 AM","9/12/2020, 2:11:49 PM",morning
DL1PC0506,978,"12/9/2020, 6:19:56 AM","12/9/2020, 11:06:00 AM",morning
DL1PC0562,SPECIAL-HIRE,"12/9/2020, 8:40:15 AM","9/12/2020, 7:18:33 PM",morning
DL1PC1024,978,"09/12/2020, 04:44:11","12/9/2020, 1:10:20 PM",morning
DL1PC0980,764,"12/9/2020, 7:03:48 AM","9/12/2020, 1:21:47 PM",morning
DL1PC0543,828,"09/12/2020, 03:42:17","12/9/2020, 11:05:26 AM",morning
DL1PC1444,SPECIAL-HIRE,"12/9/2020, 8:41:31 AM","9/12/2020, 7:18:09 PM",morning
DL1PC0510,578,"12/9/2020, 7:08:27 AM","9/12/2020, 7:19:01 PM",morning
DL1PC0206,978,"12/9/2020, 9:11:23 AM","9/12/2020, 1:22:20 PM",morning
DL1PC0589,817,"12/9/2020, 7:19:14 AM","9/12/2020, 2:40:30 PM",morning
DL1PC0170,539,"12/9/2020, 7:05:02 AM","9/12/2020, 7:19:06 PM",morning
DL1PC1390,817,"12/9/2020, 9:12:53 AM","9/12/2020, 1:59:26 PM",morning
DL1PB9976,SPECIAL-HIRE,"12/9/2020, 8:45:47 AM","9/12/2020, 7:19:10 PM",morning
DL1PC0542,578,"12/9/2020, 9:07:01 AM","9/12/2020, 7:18:50 PM",morning
DL1PC0463,876,"12/9/2020, 7:18:22 AM","9/12/2020, 3:17:01 PM",morning
DL1PC0550,817,"12/9/2020, 7:09:31 AM","9/12/2020, 1:22:06 PM",morning
DL1PC0342,764,"12/9/2020, 6:16:24 AM","12/9/2020, 12:50:03 PM",morning
DL1PC1268,828,"12/9/2020, 6:18:44 AM","12/9/2020, 12:50:23 PM",morning
DL1PC0087,827,"09/12/2020, 04:02:45","12/9/2020, 1:10:00 PM",morning
DL1PC0547,819,"12/9/2020, 7:11:24 AM","9/12/2020, 2:41:08 PM",morning
DL1PC0560,848,"12/9/2020, 7:18:47 AM","9/12/2020, 2:41:57 PM",morning
DL1PC1552,845,"12/9/2020, 6:19:09 AM","12/9/2020, 1:05:41 PM",morning
DL1PC0558,SPECIAL-HIRE,"12/9/2020, 8:43:07 AM","9/12/2020, 7:18:37 PM",morning
DL1PC0548,764,"12/9/2020, 6:36:52 AM","9/12/2020, 2:00:17 PM",morning
DL1PC0093,817,"12/9/2020, 6:29:38 AM","9/12/2020, 2:01:48 PM",morning
DL1PC0981,539,"12/9/2020, 9:12:31 AM","9/12/2020, 1:22:30 PM",morning
DL1PB9941,817,"12/9/2020, 9:08:17 AM","9/12/2020, 7:19:16 PM",morning
DL1PC1043,845,"12/9/2020, 8:29:39 AM","9/12/2020, 2:00:54 PM",morning
DL1PC1550,764,"09/12/2020, 04:28:37","12/9/2020, 1:10:33 PM",morning
DL1PC0532,844,"12/9/2020, 9:12:03 AM","9/12/2020, 7:18:49 PM",morning
DL1PC1089,844,"12/9/2020, 7:09:09 AM","9/12/2020, 2:00:01 PM",morning
DL1PC0519,764,"12/9/2020, 9:11:37 AM","9/12/2020, 2:00:24 PM",morning
DL1PC1364,764,"12/9/2020, 9:13:06 AM","9/12/2020, 1:21:26 PM",morning
DL1PB9974,764,"12/9/2020, 9:13:24 AM","9/12/2020, 1:59:52 PM",morning
DL1PC0921,978,"12/9/2020, 9:08:40 AM","9/12/2020, 7:18:26 PM",morning
DL1PC7746,803,"09/12/2020, 05:54:46","09/12/2020, 12:40:13",morning
DL1PC9991,781,"09/12/2020, 07:54:16","09/12/2020, 14:58:39",morning
DL1PC7715,813,"09/12/2020, 07:47:32","12/9/2020, 2:35:34 PM",morning
DL1PC7714,803,"09/12/2020, 05:15:40","09/12/2020, 12:19:40",morning
DL1PC7653,778,"09/12/2020, 07:02:17","12/9/2020, 2:28:15 PM",morning
DL1PC7616,781,"09/12/2020, 08:27:45","09/12/2020, 10:34:15",morning
DL1PC7755,813,"09/12/2020, 06:22:41","12/9/2020, 1:46:31 PM",morning
DL1PC7713,740,"09/12/2020, 07:44:49","12/9/2020, 2:22:08 PM",morning
DL1PC8707,727,"09/12/2020, 08:45:02","12/9/2020, 3:44:13 PM",morning
DL1PC8222,778,"09/12/2020, 06:24:42","12/9/2020, 1:45:34 PM",morning
DL1PC7567,978,"09/12/2020, 07:10:18","12/9/2020, 2:25:45 PM",morning
DL1PC7706,778,"09/12/2020, 05:04:05","09/12/2020, 12:04:04",morning
DL1PC7710,717,"09/12/2020, 06:47:16","12/9/2020, 1:45:02 PM",morning
DL1PC7566,923,"09/12/2020, 07:37:01","12/9/2020, 2:42:35 PM",morning
DL1PC7727,978,"09/12/2020, 04:40:03","09/12/2020, 12:05:10",morning
DL1PC7744,RL-75,"09/12/2020, 07:34:55","12/9/2020, 2:36:24 PM",morning
DL1PC9923,978,"09/12/2020, 06:21:46","12/9/2020, 1:47:38 PM",morning
DL1PC9662,RL77B,"09/12/2020, 05:20:07","09/12/2020, 12:29:04",morning
DL1PC7809,727,"09/12/2020, 07:38:25","12/9/2020, 4:32:39 PM",morning
DL1PC3210,RL77,"09/12/2020, 06:10:23","12/9/2020, 1:42:58 PM",morning
DL1PC7745,778,"09/12/2020, 07:11:51","12/9/2020, 2:24:47 PM",morning
DL1PC3206,RL77,"09/12/2020, 05:32:47","12/9/2020, 1:09:12 PM",morning
DL1PC7654,740,"09/12/2020, 08:14:31","12/9/2020, 3:21:38 PM",morning
DL1PC7570,770A,"09/12/2020, 06:17:12","12/9/2020, 1:41:55 PM",morning
DL1PC7751,727,"09/12/2020, 06:57:26","12/9/2020, 2:14:25 PM",morning
DL1PC9808,781,"09/12/2020, 09:08:37","12/9/2020, 4:12:00 PM",morning
DL1PC7564,790,"09/12/2020, 07:55:33","12/9/2020, 3:04:03 PM",morning
DL1PC9980,794,"09/12/2020, 06:19:30","12/9/2020, 1:35:18 PM",morning
DL1PC7748,778,"09/12/2020, 06:01:22","12/9/2020, 1:34:24 PM",morning
DL1PC7830,715,"09/12/2020, 06:41:50","12/9/2020, 2:10:17 PM",morning
DL1PC3208,978,"09/12/2020, 06:48:37","12/9/2020, 2:18:17 PM",morning
DL1PC7726,778,"09/12/2020, 06:34:55","12/9/2020, 2:20:43 PM",morning
DL1PC9982,978,"09/12/2020, 06:46:25","09/12/2020, 14:52:43",morning
DL1PC7722,717,"09/12/2020, 06:46:04","12/9/2020, 2:09:50 PM",morning
DL1PC7752,RL-75,"09/12/2020, 08:21:49","12/9/2020, 3:43:23 PM",morning
DL1PC7651,727,"09/12/2020, 07:52:25","12/9/2020, 2:25:33 PM",morning
DL1PC7619,803,"09/12/2020, 07:11:18","12/9/2020, 1:38:10 PM",morning
DL1PC7652,SPECIAL-HIRE,"09/12/2020, 09:18:12","12/9/2020, 4:31:51 PM",morning
DL1PC9658,721,"09/12/2020, 05:17:12","09/12/2020, 12:36:11",morning
